poids;taille;diam_biacromial;per_cuisse;performance
71;180.6;41.2;59.8;14
77;182.9;42.9;60.9;13.9
74;178.3;44.1;56.5;13.7
73;176.7;42.5;59;13.4
73;174.7;39;55.5;13.2
73;178.8;40.9;58.1;12.6
78;181.3;40.2;58.8;11.5
81;172.7;38.7;59.8;11.1
73;176.4;41.1;56.5;11
85;191;41.7;58.1;11
72;177.4;39.5;57.7;11
54;167.5;37.4;49.5;10.7
65;177.8;37.7;55.7;10.6
56;169.3;37.9;50;10.5
67;178.6;40.3;53;10.3
58;171.4;37.7;51;10
55;173.2;37.8;49;10
58;173.4;37.8;50.9;9.4
53;168;36;48.5;9
67;185.8;39.8;50.5;8.8
61;171.8;36.3;50.4;8.6
44;159.9;33.3;42.9;8
